Season,Driver,Races,AvgQuali,AvgFinish,Podiums,Wins,AvgRaceLap
2024,Lando Norris,24,3.5416666666666665,4.291666666666667,13,4,92.54929229051244
2024,Oscar Piastri,24,5.416666666666667,5.125,8,2,92.90824402224678
2025,Lando Norris,24,2.9583333333333335,4.25,18,7,91.06616733462384
2025,Oscar Piastri,24,3.0416666666666665,4.208333333333333,16,7,90.47498587905311
