Season,Round,Circuit,PoleDriver,RaceWinner,PoleFinishPosition,Lap1Position,WonFromPole
2021,1,Bahrain Grand Prix,VER,HAM,2.0,1.0,False
2021,2,Emilia Romagna Grand Prix,HAM,VER,2.0,2.0,False
2021,3,Portugese Grand Prix,BOT,HAM,3.0,1.0,False
2021,4,Spanish Grand Prix,HAM,HAM,1.0,2.0,True
2021,5,Monaco Grand Prix,LEC,VER,DNF,DNF,False
2021,6,Azerbaijan Grand Prix,LEC,PER,4.0,1.0,False
2021,7,French Grand Prix,VER,VER,1.0,2.0,True
2021,8,Steiermark Grand Prix,VER,VER,1.0,1.0,True
2021,9,Austrian Grand Prix,VER,VER,1.0,1.0,True
2021,10,British Grand Prix,VER,HAM,DNF,2.0,False
2021,11,Hungarian Grand Prix,HAM,OCO,2.0,1.0,False
2021,12,Belgian Grand Prix,VER,VER,1.0,1.0,True
2021,13,Dutch Grand Prix,VER,VER,1.0,1.0,True
2021,14,Italian Grand Prix,VER,RIC,DNF,2.0,False
2021,15,Russian Grand Prix,NOR,HAM,7.0,2.0,False
2021,16,Turkish Grand Prix,BOT,BOT,1.0,1.0,True
2021,17,United States Grand Prix,VER,VER,1.0,2.0,True
2021,18,Mexico City Grand Prix,BOT,VER,15.0,18.0,False
2021,19,Sao Paolo Grand Prix,BOT,HAM,1.0,6.0,False
2021,20,Qatar Grand Prix,HAM,HAM,1.0,1.0,True
2021,21,Saudi Arabia Grand Prix,HAM,HAM,1.0,1.0,True
2021,22,Abu Dhabi Grand Prix,VER,VER,1.0,1.0,True
