Season,Race,Driver,QualiPos,FinishPos,Podium,Win,AvgLapTime_s
2025,Belgian Grand Prix,Lando Norris,1,2,True,False,112.13146341463413
2025,Belgian Grand Prix,Oscar Piastri,2,1,True,True,112.06253658536586
2025,Hungarian Grand Prix,Lando Norris,3,1,True,True,81.73187142857144
2025,Hungarian Grand Prix,Oscar Piastri,2,2,True,False,81.74184285714284
2025,Dutch Grand Prix,Lando Norris,2,18,False,False,80.75760937499999
2025,Dutch Grand Prix,Oscar Piastri,1,1,True,True,82.08123611111111
2025,Italian Grand Prix,Lando Norris,2,2,True,False,83.46286792452828
2025,Italian Grand Prix,Oscar Piastri,3,3,True,False,83.503320754717
2025,Azerbaijan Grand Prix,Lando Norris,7,7,False,False,106.97414583333334
2025,Azerbaijan Grand Prix,Oscar Piastri,9,20,False,False,
2025,Singapore Grand Prix,Lando Norris,5,3,True,False,97.23279032258066
2025,Singapore Grand Prix,Oscar Piastri,3,4,False,False,97.26633870967741
2025,United States Grand Prix,Lando Norris,2,2,True,False,100.85928571428572
2025,United States Grand Prix,Oscar Piastri,6,5,False,False,101.247125
2025,Mexico City Grand Prix,Lando Norris,1,1,True,True,82.79681690140843
2025,Mexico City Grand Prix,Oscar Piastri,8,5,False,False,83.38928169014083
2025,São Paulo Grand Prix,Lando Norris,1,1,True,True,77.76895774647886
2025,São Paulo Grand Prix,Oscar Piastri,4,5,False,False,77.99077464788732
2025,Las Vegas Grand Prix,Lando Norris,1,19,False,False,97.7834
2025,Las Vegas Grand Prix,Oscar Piastri,5,20,False,False,97.92158
2025,Qatar Grand Prix,Lando Norris,2,4,False,False,89.50098245614035
2025,Qatar Grand Prix,Oscar Piastri,1,2,True,False,89.2322105263158
2025,Abu Dhabi Grand Prix,Lando Norris,2,3,True,False,89.3800172413793
2025,Abu Dhabi Grand Prix,Oscar Piastri,3,2,True,False,89.31143103448277
